id,answer
0,web
1,computer program that extends the functionality of a web browser
3,a browser extension
7,most browsers
10," microsoft corp v commission
11,mosaic
12,this deal
14,a browser extension
17,this deal
18,web
19,file , and others
24,  chrome 's user - base
25,a browser extension
28,nexus
29,apple - based web browsing
30,proprietary web
31,uniform
32,mozilla
33,information provided by web servers in private networks or files in file systems
34,usage
35,web
37,javascript
38,google chrome
39,user 's
40,users
41,live bookmarks
42,which stores and displays the contents of the feed
43,usage
45,uniform
46,mosaic - influenced netscape navigator in 1994 , which quickly became the world 's most popular browser , accounting for 90 % of all web use at its peak ( see usage share of web browsers
48,a browser extension
50,minimal , text - based user interfaces with bare - bones support for html
51,other hand
52,url
53,a browser extension
56,torch relay
57,islamabad
63,chinese media
66,first time since april
68,falun gong
70,  this arrangement
77,eiffel
78,beijing
81,structure he built in hong kong to commemorate the 1989 tiananmen square protests
85,  the torch
86,carrefour
92,tibetan independence , animal rights , and legal online gambling
94,  the torch
96,chinatown
98,san
99,reporters
101,vietnam
103,public not being allowed at the relay
104,interviews
105,whole relay
108,kunming
111,islamabad
113,control
116,relay
117,novelty
121,uighur
122,praise
124,briefly
127,torch 's only stop in the middle east , on april 14
137,  the torch
138,saint
140,torch
144,overseas
150,torch 's
152,people 's daily
154,  the french newspaper libération
155,nguyễn
156,tradition
157,carrefour
165,propane
167," demonising " china during their coverage of the torch relays
169,manhandling
170,its children 's
172,chinatown
173,konnie
176,a macau resident
180,international
184,minami nagano sports park
186,ips
187,libération
190,eiffel
198,propane
201,  the french newspaper libération
202,dragon
203,situation
204,saint
205,  the torch route
210,taipei
215,other sporting
216,24 km
217,tibetan government in exile , which is based in india
218,luxury
219,beijing , changsha , fuzhou and shenyang
222,immigration
225,vice
228,summer
231,mostly peaceful demonstrators
233,chinese students and scholars association
241,harmony
243,little mention –
250,media
257,international
259,flame
264,legal online gambling
265,pakistan
266,bollywood
267,overseas
272,silk
274,com relating to a boycott of carrefour
276,pro - tibet protests ,
277,people 's daily
282,beijing games ' organizing committee
285,sanya
287,example
288,eiffel tower
289,reporters
291,assurances that it will be done peacefully
298,protest
300,city
302,calls to do so by some ioc members
304,winter
305,islamabad
307,mayor 's remark
312,com and cyberctm
313,luxury
319,starting point for the olympic torch relay in nagano
320,part
321,starting point for the olympic torch relay in nagano
323,first time since april
329,counter
332,china
338,tibetan flag
339,human rights
343,china 's
351,pro - tibet
353,to " spelling " :
354,
355,frequency
357,other words
359,frequency
360," low " pitch corresponds
361,shifts
362,overtones
363,organization
364,to " spelling " :
365,higher frequencies
367,respect to fundamental frequency
369,inherent octave ambiguities
370,highly regarded and recognised name in dance music
372,over 600 exhibitors
374,the city
375,3,570 people claiming job seeker 's allowance , approximately 2
377,highfield
378,uk ,
380,french , the crimean war , and the boer war
381,then hampton
383,  here , the rivers test and itchen converge
384,fortified settlement , which became medieval southampton ,
385,southampton area
386,city
388,conservative
389,most common form
390,west quay retail park
394,solent
395,  the city
396,city
397,england and wales
401,city 's
402,solent
403,canute 's
404,city , including aircraft and car manufacture , cables , electrical engineering products , and petrochemicals
406,  the settlement
410,hampshire
411,house
415,king
417,
418,close second for boys
422,westquay park
424,art vaults
426,  the western docks date from the 1930s when the southern railway company commissioned a major land reclamation and dredging programme
430,house
431,this area
432,water
433,city
434,
435,hampshire
436,norman conquest in 1066
437,uk
438,southampton city centre
439,labour )
442,( parkway )
443,foundation
445,live music
446,same time
447,stage
448,
449,  uni - link
450,other business
452,a royal charter in 1952
453,  southampton castle
454,residents who can not access public transport
456,hampshire
457,this purpose
458,p&o
459,focal point for the public 's sporting and outdoor activities
460,transport police
461,city
464,solent
465,princess
467,school
468," fittest city in the uk "
469,  southampton castle
471,university hospital southampton
472,pound
476,
477,places along the south coast of england
478,wave 105 and heart hampshire
482,leading port , particularly involved in the import of french wine in exchange for english cloth and wool
483,  the extensive rebuilding — part of the walls dates from 1175—culminated in the completion of the western walls in 1380
484,cornwall
487,england
488,st
492,sunnier
495,
499,city
500,city
501,transport police
503,weston , thornhill and townhill park districts
504,transport
505,city
507,city
508,palliative care service at countess mountbatten house , part of the moorgreen hospital site in the village of west end
509,current and 578th sherriff
510,city
511,highfield
513,student
517,assembly
518,hampshire county council
519,royal princess
520,princess
521,southampton
522,large shopping centre and retail park called westquay
525,transport police
527,local performing societies
529,homes in the vicinity
530,oxford
535,education
536,leading port , particularly involved in the import of french wine in exchange for english cloth and wool
537,redbridge , southampton ,
539,2011 census they had merged to become the sixth largest built - up area in england with a population of 855,569
542,setting up of county councils across england and wales
544,hamwic
546,maritime
550,princess
554,eastleigh
555,city 's heritage
557,crimean
561,southampton sunday
563,crimean
565,french , the crimean war , and the boer war
568,archaeology
569,rail
572,king
573,bailey wall
574,home
578,west end
579,
580,host
582,  this figure
584,channel coast
585,
588,military embarkation ,
589,hrh
590,southampton
591,southampton
594," fittest city in the uk "
597,heart
598,inconsistencies between different police forces recording methodologies
605,local government reorganisation
606,ocean
607,langstone
610,  the city 's
613,passenger ferry
615,hampshire
618,south
619,
625,southampton water and the solent by henry viii
627,southampton
629,woodmill
631,  here , the rivers test and itchen converge
636,°
638,city
643,maritime
645,places along the south coast of england
646,friary house
648,eastleigh
649,park
650,princess
651,british gas
653,aircraft and car manufacture , cables , electrical engineering products , and petrochemicals
655,
656,agincourt
658,host
659,dorset
662,solent
663,
664,trading
665,enterprise
666,southampton sunday
672,city
673,capital , previously power fm and galaxy
674,the city
675,city
676,  here , the rivers test and itchen converge
678,mayflower
679,rail
681,oceanic climate ( köppen cfb )
683,  the local itv franchise
685,deep water estuary
688,county
690,city
691,southampton sunday
694,links to east cowes and cowes
697,city
701,town that can show a more beautiful main street than southampton
703,southampton 's strong economy
705,
706,  henry v 's famous warship hms grace dieu
708,county borough within the county of hampshire , which meant that it had many features of a county
709,national
711,redbridge , southampton ,
712,hampshire
714,city
716,  other estimates
717,such usage
