id,answer
0,web
1,program
3,extension
7,browsers
10,Corp
11,Mosaic
12,deal
14,extension
17,deal
18,web
19,file
24,May
25,extension
28,Nexus
29,browsing
30,web
31,Uniform
32,Mozilla
33,information
34,usage
35,web
37,JavaScript
38,Chrome
39,user
40,users
41,bookmarks
42,stores
43,usage
45,Uniform
46,Navigator
48,extension
50,interfaces
51,hand
52,url
53,extension
56,relay
57,Islamabad
63,media
66,time
68,Gong
70,arrangement
77,Eiffel
78,Beijing
81,structure
85,torch
86,Carrefour
92,independence
94,torch
96,Chinatown
98,san
99,Reporters
101,Vietnam
103,public
104,interviews
105,relay
108,Kunming
111,Islamabad
113,control
116,relay
117,novelty
121,Uighur
122,praise
124,briefly
127,stop
137,torch
138,April
140,torch
144,Overseas
150,torch
152,Daily
154,Libération
155,Nguyễn
156,tradition
157,Carrefour
165,propane
167,demonising
169,manhandling
170,children
172,Chinatown
173,Konnie
176,resident
180,International
184,Park
186,ips
187,Libération
190,Eiffel
198,propane
201,Libération
202,dragon
203,situation
204,April
205,route
210,Taipei
215,sporting
216,km
217,government
218,luxury
219,Beijing
222,April
225,vice
228,August
231,demonstrators
233,Association
241,Harmony
243,mention
250,media
257,International
259,flame
264,gambling
265,Pakistan
266,Bollywood
267,Overseas
272,silk
274,com
276,protests
277,Daily
282,Committee
285,Sanya
287,example
288,Tower
289,Reporters
291,assurances
298,protest
300,city
302,calls
304,Winter
305,Islamabad
307,remark
312,com
313,luxury
319,point
320,part
321,point
323,time
329,counter
332,China
338,flag
339,rights
343,China
351,Tibet
353,spelling
354,
355,frequency
357,words
359,frequency
360,corresponds
361,shifts
362,overtones
363,organization
364,spelling
365,frequencies
367,respect
369,ambiguities
370,name
372,September
374,city
375,people
377,Highfield
378,uk ,
380,century
381,Hampton
383,converge
384,settlement
385,area
386,city
388,Conservative
389,form
390,Park
394,Solent
395,city
396,city
397,England
401,city
402,Solent
403,Canute
404,city
406,settlement
410,Hampshire
411,House
415,king
417,
418,second
422,park
424,Vaults
426,date
430,House
431,area
432,water
433,city
434,June
435,Hampshire
436,Conquest
437,uk
438,centre
439,Labour
442,Parkway
443,foundation
445,music
446,time
447,Stage
448,
449,link
450,business
452,Charter
453,Castle
454,residents
456,Hampshire
457,purpose
458,p&o
459,point
460,Police
461,city
464,November
465,Princess
467,school
468,city
469,Castle
471,Southampton
472,Pound
476,
477,places
478,Wave
482,port
483,rebuilding
484,December
487,England
488,st
492,sunnier
495,
499,city
500,city
501,Police
503,Weston
504,Transport
505,city
507,city
508,service
509,sherriff
510,city
511,Highfield
513,student
517,Assembly
518,Council
519,Princess
520,Princess
521,Southampton
522,centre
525,Police
527,societies
529,September
530,Oxford
535,education
536,port
537,March
539,census
542,setting
544,century
546,Maritime
550,Princess
554,Eastleigh
555,heritage
557,Crimean
561,Sunday
563,Crimean
565,century
568,archaeology
569,rail
572,king
573,wall
574,February
578,End
579,
580,host
582,figure
584,coast
585,
588,embarkation
589,hrh
590,Southampton
591,Southampton
594,city
597,Heart
598,inconsistencies
605,reorganisation
606,Ocean
607,today
610,city
613,ferry
615,Hampshire
618,South
619,October
625,Water
627,Southampton
629,Woodmill
631,converge
636,°
638,city
643,Maritime
645,places
646,House
648,Eastleigh
649,park
650,Princess
651,Gas
653,aircraft
655,
656,Agincourt
658,host
659,Dorset
662,Solent
663,
664,trading
665,Enterprise
666,Sunday
672,city
673,Capital
674,city
675,city
676,converge
678,Mayflower
679,rail
681,climate
683,franchise
685,estuary
688,county
690,city
691,Sunday
694,links
697,city
701,town
703,economy
705,
706,Dieu
708,borough
709,National
711,Redbridge
712,Hampshire
714,city
716,estimates
717,usage
720,ancestors
727,years
728,probability
732,Jews
734,class
737,Orthodox
738,Ashkenaz
741,Holocaust
744,subset
746,Israel
747,Ashkenazi
749,Roman
752,minhagim
756,%
757,
758,Jewishness
759,Ashkenazim
761,lineages
763,y
765,Trier
768,Ashkenazi
770,conversion
771,prayer
774,worship
778,leadership
779,yoma
784,addition
793,Sephardic
794,yoma
795,Sefarad
797,Hareidi
798,Syrians
799,Syrians
800,centers
804,estimates
806,Ashkenazi
808,
809,Jewishness
811,91 %
813,researchers
816,Spain
817,Ashkenazi
818,Syrians
821,ritual
823,Scythians
824,customs
827,Neptune,[e
828,region
829,trojans
830,north
831,namesake
832,centre
833,Space
834,diameter
835,Psalms
836,troposphere
838,Saturn
839,Ποσειδώνας
842,gravity
846,
848,trojans
851,methane
852,storm
853,trojans
854,Voyager
855,altitude
856,Voyager
857,
858,planet
860,planet
861,spacecraft
863,
869,
871,temperature
873,LC18
878,Neptune
880,hypothesis
881,trojans
884,planet
885,trojans
886,density
889,Underneath
890,December
892,Solar
893,objects
895,concept
896,satellite
897,altitude
900,Neptune
903,Solar
904,features
905,trojans
907,period
908,Neptune
909,bodies
911,trojans
914,trojans
917,trojans
918,reaction
919,centuries
921,types
924,worldviews
926,research
927,movement
930,anarchy
931,death
933,Hall
935,fact
936,individuals
937,culture
940,material
941,legislation
945,Court
946,religion
947,state
950,president
951,historian
952,meetings
957,scholars
958,jurisprudence
959,establishment
961,holdings
962,opponents
963,traditions
965,decision
967,
969,question
974,observance
975,colonists
977,nc
979,First
981,bigotry
984,regard
985,violation
986,United
990,theologian
992,dimension
993,reaction
995,regard
996,
998,others
999,traditions
1001,  u
1002,bill
1003,
1004,Supreme
1005,distinction
1009,churches
1011,parent
1014,minorities
1016,separation
1017,tile
1021,excavations
1027,iconography
1031,synagogue
1032,ship
1033,art
1035,mausoleum
1037,st
1039,down
1040,areas
1042,look
1043,beliefs
1046,century
1047,floors
1048,floor
1055,Prussia
1057,kingdom
1058,quality
1060,kingdom
1062,Székesfehérvár
